Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(?),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(?),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
C,C9X20,C9X20,–,20.0,5.87,9.00,9      ,–,–,–,2.65,2  5/8 ,–,–,–,0.448,  7/16,  1/4 ,0.413,  7/16,–,–,–,1.00,1      ,–,0.583,–,0.515,0.326,–,–,6.42,–,16.2,–,–,60.9,16.9,13.5,3.22,2.41,2.46,1.17,0.640,–,–,–,0.427,39.4,–,7.24,2.52,2.04,1.01,3.90,8.44,3.46,0.899,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.850,8.59,24.9,–,27.6,20.7,23.3,7      ,1  1/2 ,–,C230X30,C230X30,30.0,3790,229,229,–,–,–,67.3,66.7,–,–,–,11.4,11.1,6.35,10.5,11.1,–,–,–,25.4,25.4,–,14.8,–,13.1,8.28,–,–,6.42,–,16.2,–,–,25.3,277,221,81.8,1.00,40.3,19.2,16.3,–,–,–,178,10.6,–,4670,1.05,0.849,0.420,63.9,138,87.9,0.899,–,–,–,–,–,–,–,–,–,–,–,–,–,–,21.6,218,632,–,701,526,592,178,38.1,–
C,C9X15,C9X15,–,15.0,4.40,9.00,9      ,–,–,–,2.49,2  1/2 ,–,–,–,0.285,  5/16,  3/16,0.413,  7/16,–,–,–,1.00,1      ,–,0.586,–,0.681,0.245,–,–,6.03,–,25.4,–,–,51.0,13.6,11.3,3.40,1.91,2.04,1.01,0.659,–,–,–,0.208,31.0,–,6.54,2.06,1.46,0.705,3.91,6.80,3.69,0.882,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.825,8.59,24.5,–,27.0,20.5,23.0,7      ,1  3/8 ,–,C230X22,C230X22,22.0,2840,229,229,–,–,–,63.2,63.5,–,–,–,7.24,7.94,4.76,10.5,11.1,–,–,–,25.4,25.4,–,14.9,–,17.3,6.22,–,–,6.03,–,25.4,–,–,21.2,223,185,86.4,0.795,33.4,16.6,16.7,–,–,–,86.6,8.32,–,4220,0.857,0.608,0.293,64.1,111,93.7,0.882,–,–,–,–,–,–,–,–,–,–,–,–,–,–,21.0,218,622,–,686,521,584,178,34.9,–
C,C9X13.4,C9X13.4,–,13.4,3.94,9.00,9      ,–,–,–,2.43,2  3/8 ,–,–,–,0.233,  1/4 ,  1/8 ,0.413,  7/16,–,–,–,1.00,1      ,–,0.601,–,0.742,0.219,–,–,5.88,–,31.1,–,–,47.8,12.6,10.6,3.48,1.75,1.94,0.954,0.666,–,–,–,0.168,28.2,–,6.25,1.88,1.22,0.625,3.90,6.25,3.79,0.875,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.814,8.59,24.3,–,26.7,20.4,22.9,7      ,1  3/8 ,–,C230X19.9,C230X19.9,19.9,2540,229,229,–,–,–,61.7,60.3,–,–,–,5.92,6.35,3.18,10.5,11.1,–,–,–,25.4,25.4,–,15.3,–,18.8,5.56,–,–,5.88,–,31.1,–,–,19.9,206,174,88.4,0.728,31.8,15.6,16.9,–,–,–,69.9,7.57,–,4030,0.783,0.508,0.260,63.9,102,96.3,0.875,–,–,–,–,–,–,–,–,–,–,–,–,–,–,20.7,218,617,–,678,518,582,178,34.9,–
C,C8X18.75,C8X18.75,–,18.75,5.51,8.00,8      ,–,–,–,2.53,2  1/2 ,–,–,–,0.487,  1/2 ,  1/4 ,0.390,  3/8 ,–,–,–,0.938, 15/16,–,0.565,–,0.431,0.344,–,–,6.49,–,13.0,–,–,43.9,13.9,11.0,2.82,1.97,2.17,1.01,0.598,–,–,–,0.434,25.1,–,6.13,1.93,1.59,0.788,3.03,6.93,3.05,0.894,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.800,7.61,22.6,–,25.1,18.5,21.1,6  1/8 ,1  1/2 ,–,C200X27.9,C200X27.9,27.9,3550,203,203,–,–,–,64.3,63.5,–,–,–,12.4,12.7,6.35,9.91,9.52,–,–,–,23.8,23.8,–,14.4,–,10.9,8.74,–,–,6.49,–,13.0,–,–,18.3,228,180,71.6,0.820,35.6,16.6,15.2,–,–,–,181,6.74,–,3950,0.803,0.662,0.328,49.7,114,77.5,0.894,–,–,–,–,–,–,–,–,–,–,–,–,–,–,20.3,193,574,–,638,470,536,156,38.1,–
C,C8X13.75,C8X13.75,–,13.75,4.03,8.00,8      ,–,–,–,2.34,2  3/8 ,–,–,–,0.303,  5/16,  3/16,0.390,  3/8 ,–,–,–,0.938, 15/16,–,0.554,–,0.604,0.252,–,–,6.00,–,21.0,–,–,36.1,11.0,9.02,2.99,1.52,1.73,0.848,0.613,–,–,–,0.186,19.2,–,5.45,1.52,1.10,0.557,3.02,5.45,3.26,0.874,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.774,7.61,22.1,–,24.4,18.3,20.7,6  1/8 ,1  3/8 ,–,C200X20.5,C200X20.5,20.5,2600,203,203,–,–,–,59.4,60.3,–,–,–,7.70,7.94,4.76,9.91,9.52,–,–,–,23.8,23.8,–,14.1,–,15.3,6.40,–,–,6.00,–,21.0,–,–,15.0,180,148,75.9,0.633,28.3,13.9,15.6,–,–,–,77.4,5.16,–,3520,0.633,0.458,0.232,49.5,89.3,82.8,0.874,–,–,–,–,–,–,–,–,–,–,–,–,–,–,19.7,193,561,–,620,465,526,156,34.9,–
C,C8X11.5,C8X11.5,–,11.5,3.37,8.00,8      ,–,–,–,2.26,2  1/4 ,–,–,–,0.220,  1/4 ,  1/8 ,0.390,  3/8 ,–,–,–,0.938, 15/16,–,0.572,–,0.697,0.211,–,–,5.79,–,28.9,–,–,32.5,9.63,8.14,3.11,1.31,1.57,0.775,0.623,–,–,–,0.130,16.5,–,5.11,1.34,0.855,0.430,3.03,4.79,3.41,0.862,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.756,7.61,21.9,–,24.1,18.3,20.5,6  1/8 ,1  3/8 ,–,C200X17.1,C200X17.1,17.1,2170,203,203,–,–,–,57.4,57.2,–,–,–,5.59,6.35,3.18,9.91,9.52,–,–,–,23.8,23.8,–,14.5,–,17.7,5.36,–,–,5.79,–,28.9,–,–,13.5,158,133,79.0,0.545,25.7,12.7,15.8,–,–,–,54.1,4.43,–,3300,0.558,0.356,0.179,49.7,78.5,86.6,0.862,–,–,–,–,–,–,–,–,–,–,–,–,–,–,19.2,193,556,–,612,465,521,156,34.9,–
C,C7X14.75,C7X14.75,–,14.75,4.33,7.00,7      ,–,–,–,2.30,2  1/4 ,–,–,–,0.419,  7/16,  1/4 ,0.366,  3/8 ,–,–,–,0.875,  7/8 ,–,0.532,–,0.441,0.309,–,–,6.28,–,12.9,–,–,27.2,9.75,7.78,2.51,1.37,1.63,0.772,0.561,–,–,–,0.267,13.1,–,4.78,1.26,1.00,0.498,2.28,4.85,2.75,0.875,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.738,6.63,20.0,–,22.3,16.3,18.6,5  1/4 ,1  1/4 ,–,C180X22,C180X22,22.0,2790,178,178,–,–,–,58.4,57.2,–,–,–,10.6,11.1,6.35,9.30,9.52,–,–,–,22.2,22.2,–,13.5,–,11.2,7.85,–,–,6.28,–,12.9,–,–,11.3,160,127,63.8,0.570,26.7,12.7,14.2,–,–,–,111,3.52,–,3080,0.524,0.416,0.207,37.4,79.5,69.9,0.875,–,–,–,–,–,–,–,–,–,–,–,–,–,–,18.7,168,508,–,566,414,472,133,31.8,–
C,C7X12.25,C7X12.25,–,12.25,3.59,7.00,7      ,–,–,–,2.19,2  1/4 ,–,–,–,0.314,  5/16,  3/16,0.366,  3/8 ,–,–,–,0.875,  7/8 ,–,0.525,–,0.538,0.257,–,–,5.98,–,17.3,–,–,24.2,8.46,6.92,2.59,1.16,1.42,0.696,0.568,–,–,–,0.161,11.2,–,4.44,1.09,0.793,0.406,2.28,4.20,2.86,0.862,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.722,6.63,19.7,–,21.9,16.2,18.4,5  1/4 ,1  1/4 ,–,C180X18.2,C180X18.2,18.2,2320,178,178,–,–,–,55.6,57.2,–,–,–,7.98,7.94,4.76,9.30,9.52,–,–,–,22.2,22.2,–,13.3,–,13.7,6.53,–,–,5.98,–,17.3,–,–,10.1,139,113,65.8,0.483,23.3,11.4,14.4,–,–,–,67.0,3.01,–,2860,0.454,0.330,0.169,37.4,68.8,72.6,0.862,–,–,–,–,–,–,–,–,–,–,–,–,–,–,18.3,168,500,–,556,411,467,133,31.8,–
C,C7X9.8,C7X9.8,–,9.80,2.87,7.00,7      ,–,–,–,2.09,2  1/8 ,–,–,–,0.210,  3/16,  1/8 ,0.366,  3/8 ,–,–,–,0.875,  7/8 ,–,0.541,–,0.647,0.205,–,–,5.71,–,25.8,–,–,21.2,7.19,6.07,2.72,0.957,1.26,0.617,0.578,–,–,–,0.0996,9.15,–,4.09,0.922,0.579,0.289,2.28,3.57,3.02,0.845,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.698,6.63,19.4,–,21.5,16.1,18.2,5  1/4 ,1  1/4 ,–,C180X14.6,C180X14.6,14.6,1850,178,178,–,–,–,53.1,54.0,–,–,–,5.33,4.76,3.18,9.30,9.52,–,–,–,22.2,22.2,–,13.7,–,16.4,5.21,–,–,5.71,–,25.8,–,–,8.82,118,99.5,69.1,0.398,20.6,10.1,14.7,–,–,–,41.5,2.46,–,2640,0.384,0.241,0.120,37.4,58.5,76.7,0.845,–,–,–,–,–,–,–,–,–,–,–,–,–,–,17.7,168,493,–,546,409,462,133,31.8,–
C,C6X13,C6X13,–,13.0,3.82,6.00,6      ,–,–,–,2.16,2  1/8 ,–,–,–,0.437,  7/16,  1/4 ,0.343,  5/16,–,–,–,0.813, 13/16,–,0.514,–,0.380,0.318,–,–,6.30,–,10.5,–,–,17.3,7.29,5.78,2.13,1.05,1.35,0.638,0.524,–,–,–,0.237,7.19,–,3.80,0.875,0.702,0.345,1.67,3.64,2.37,0.858,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.689,5.66,17.6,–,19.8,14.2,16.3,4  3/8 ,1  3/8 ,–,C150X19.3,C150X19.3,19.3,2460,152,152,–,–,–,54.9,54.0,–,–,–,11.1,11.1,6.35,8.71,7.94,–,–,–,20.7,20.6,–,13.1,–,9.65,8.08,–,–,6.30,–,10.5,–,–,7.20,119,94.7,54.1,0.437,22.1,10.5,13.3,–,–,–,98.6,1.93,–,2450,0.364,0.292,0.144,27.4,59.6,60.2,0.858,–,–,–,–,–,–,–,–,–,–,–,–,–,–,17.5,144,447,–,503,361,414,111,34.9,–
C,C6X10.5,C6X10.5,–,10.5,3.07,6.00,6      ,–,–,–,2.03,2      ,–,–,–,0.314,  5/16,  3/16,0.343,  5/16,–,–,–,0.813, 13/16,–,0.500,–,0.486,0.256,–,–,5.92,–,14.7,–,–,15.1,6.18,5.04,2.22,0.860,1.14,0.561,0.529,–,–,–,0.128,5.91,–,3.48,0.734,0.534,0.275,1.66,3.08,2.48,0.842,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.669,5.66,17.3,–,19.3,14.0,16.1,4  3/8 ,1  1/8 ,–,C150X15.6,C150X15.6,15.6,1980,152,152,–,–,–,51.6,50.8,–,–,–,7.98,7.94,4.76,8.71,7.94,–,–,–,20.7,20.6,–,12.7,–,12.3,6.50,–,–,5.92,–,14.7,–,–,6.29,101,82.6,56.4,0.358,18.7,9.19,13.4,–,–,–,53.3,1.59,–,2250,0.306,0.222,0.114,27.2,50.5,63.0,0.842,–,–,–,–,–,–,–,–,–,–,–,–,–,–,17.0,144,439,–,490,356,409,111,28.6,–
C,C6X8.2,C6X8.2,–,8.20,2.39,6.00,6      ,–,–,–,1.92,1  7/8 ,–,–,–,0.200,  3/16,  1/8 ,0.343,  5/16,–,–,–,0.813, 13/16,–,0.512,–,0.599,0.199,–,–,5.60,–,23.0,–,–,13.1,5.16,4.35,2.34,0.687,0.987,0.488,0.536,–,–,–,0.0736,4.70,–,3.17,0.610,0.373,0.187,1.67,2.57,2.65,0.824,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.643,5.66,17.0,–,18.9,13.9,15.8,4  3/8 ,1  1/8 ,–,C150X12.2,C150X12.2,12.2,1540,152,152,–,–,–,48.8,47.6,–,–,–,5.08,4.76,3.18,8.71,7.94,–,–,–,20.7,20.6,–,13.0,–,15.2,5.05,–,–,5.60,–,23.0,–,–,5.45,84.6,71.3,59.4,0.286,16.2,8.00,13.6,–,–,–,30.6,1.26,–,2050,0.254,0.155,0.0778,27.4,42.1,67.3,0.824,–,–,–,–,–,–,–,–,–,–,–,–,–,–,16.3,144,432,–,480,353,401,111,28.6,–
C,C5X9,C5X9,–,9.00,2.64,5.00,5      ,–,–,–,1.89,1  7/8 ,–,–,–,0.325,  5/16,  3/16,0.320,  5/16,–,–,–,0.750,  3/4 ,–,0.478,–,0.427,0.264,–,–,5.91,–,11.1,–,–,8.89,4.39,3.56,1.84,0.624,0.913,0.444,0.486,–,–,–,0.109,2.93,–,2.66,0.485,0.355,0.170,1.17,2.19,2.10,0.815,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.616,4.68,14.9,–,16.8,11.9,13.8,3  1/2 ,1  1/8 ,–,C130X13,C130X13,13.0,1700,127,127,–,–,–,48.0,47.6,–,–,–,8.26,7.94,4.76,8.13,7.94,–,–,–,19.1,19.1,–,12.1,–,10.8,6.71,–,–,5.91,–,11.1,–,–,3.70,71.9,58.3,46.7,0.260,15.0,7.28,12.3,–,–,–,45.4,0.787,–,1720,0.202,0.148,0.0708,19.2,35.9,53.3,0.815,–,–,–,–,–,–,–,–,–,–,–,–,–,–,15.6,119,378,–,427,302,351,88.9,28.6,–
C,C5X6.7,C5X6.7,–,6.70,1.97,5.00,5      ,–,–,–,1.75,1  3/4 ,–,–,–,0.190,  3/16,  1/8 ,0.320,  5/16,–,–,–,0.750,  3/4 ,–,0.484,–,0.552,0.215,–,–,5.47,–,19.1,–,–,7.48,3.55,2.99,1.95,0.470,0.757,0.372,0.489,–,–,–,0.0549,2.22,–,2.36,0.380,0.224,0.113,1.17,1.76,2.26,0.790,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.584,4.68,14.5,–,16.3,11.8,13.5,3  1/2 ,–,–,C130X10.4,C130X10.4,10.4,1270,127,127,–,–,–,44.5,44.4,–,–,–,4.83,4.76,3.18,8.13,7.94,–,–,–,19.1,19.1,–,12.3,–,14.0,5.46,–,–,5.47,–,19.1,–,–,3.11,58.2,49.0,49.5,0.196,12.4,6.10,12.4,–,–,–,22.9,0.596,–,1520,0.158,0.0932,0.0470,19.2,28.8,57.4,0.790,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14.8,119,368,–,414,300,343,88.9,–,–
